Date,price_EUR,ab_test,vehicle_type,registration_year,transmission,power_ps,odometer_km,registration_month
13-03-2016,13390,test,kombi,2010,manuell,155,50000,4
02-03-2016,14900,control,limousine,2006,manuell,265,125000,6
18-03-2016,3200,test,kombi,2006,manuell,101,150000,9
04-03-2016,2350,control,kombi,2004,manuell,131,150000,1
29-04-2016,3800,test,kleinwagen,2007,automatik,71,125000,7
11-04-2016,4500,test,kleinwagen,2008,manuell,86,125000,10
29-04-2016,8999,control,bus,2012,manuell,120,70000,3
25-04-2016,1150,test,limousine,2001,automatik,150,150000,12
06-03-2016,2000,test,kleinwagen,2000,manuell,60,125000,10
01-04-2016,5500,control,coupe,2004,manuell,102,150000,3
06-04-2016,1050,test,bus,1999,manuell,63,150000,4
21-03-2016,3099,control,limousine,1995,manuell,150,125000,6
19-03-2016,13900,control,kombi,2011,manuell,177,150000,1
21-04-2016,5500,control,kleinwagen,2009,manuell,80,100000,11
29-04-2016,12999,control,limousine,2007,manuell,230,150000,9
22-03-2016,799,test,bus,2005,manuell,101,150000,7
19-03-2016,9990,control,limousine,2010,manuell,105,125000,5
25-03-2016,1400,test,kleinwagen,1997,manuell,75,150000,3
09-04-2016,2700,test,kleinwagen,2005,manuell,69,125000,1
08-04-2016,1800,test,kleinwagen,2004,manuell,88,150000,9
23-03-2016,1799,test,kombi,2001,manuell,113,125000,2
30-03-2016,999,test,kombi,2000,manuell,110,150000,1
06-03-2016,18750,test,limousine,2012,manuell,235,60000,3
10-04-2016,4900,test,limousine,2006,manuell,140,150000,2
11-03-2016,11500,control,kombi,2009,automatik,170,150000,5
29-03-2016,4999,control,limousine,2005,automatik,163,150000,12
15-04-2016,9300,test,kombi,2008,manuell,105,150000,12
12-03-2016,1650,test,kleinwagen,2004,manuell,60,150000,12
17-04-2016,750,control,kleinwagen,1996,manuell,114,150000,1
07-03-2016,2990,control,limousine,1998,manuell,150,150000,7
02-04-2016,4800,control,limousine,2006,manuell,106,150000,10
30-04-2016,599,test,limousine,1996,manuell,75,150000,1
13-04-2016,8490,control,cabrio,2007,manuell,90,90000,4
26-03-2016,3800,control,kleinwagen,2008,manuell,60,125000,8
11-03-2016,650,control,limousine,1997,manuell,75,150000,5
21-04-2016,1500,control,kombi,1998,manuell,101,150000,10
11-03-2016,550,control,limousine,1995,manuell,101,150000,10
01-04-2016,5990,test,kombi,2008,manuell,105,150000,11
05-04-2016,1150,control,kleinwagen,2000,manuell,65,150000,4
08-04-2016,1600,control,kleinwagen,1999,manuell,60,150000,3
22-03-2016,2799,control,kombi,2000,automatik,170,150000,11
11-03-2016,4550,control,bus,2008,manuell,131,150000,8
14-04-2016,1500,test,kleinwagen,1999,manuell,116,150000,4
29-03-2016,850,test,limousine,2000,manuell,144,150000,7
04-04-2016,8950,test,bus,2009,manuell,170,150000,11
03-03-2016,6000,control,kombi,2004,automatik,231,150000,5
13-04-2016,33990,control,suv,2016,automatik,175,5000,2
08-04-2016,4300,control,bus,2005,manuell,105,150000,5
27-03-2016,10500,control,limousine,2006,automatik,177,60000,5
03-04-2016,6199,test,limousine,2007,manuell,116,150000,3
24-03-2016,3650,control,limousine,2004,manuell,143,150000,7
30-04-2016,2500,test,limousine,2000,automatik,84,100000,11
24-04-2016,20000,control,suv,2007,automatik,224,150000,5
06-04-2016,650,test,kleinwagen,1993,manuell,54,150000,10
17-03-2016,1950,control,limousine,2007,manuell,109,150000,10
02-04-2016,500,control,kleinwagen,1999,manuell,60,150000,3
19-03-2016,850,control,kombi,1996,manuell,136,150000,6
12-03-2016,1999,test,limousine,1995,manuell,136,150000,6
01-03-2016,8500,control,suv,2004,automatik,140,150000,4
08-04-2016,2000,control,cabrio,1990,automatik,101,150000,2
13-03-2016,5400,test,bus,2005,automatik,109,150000,11
21-03-2016,2800,control,kleinwagen,2004,manuell,90,150000,2
21-04-2016,10650,control,limousine,2004,automatik,275,150000,11
14-03-2016,4444,test,bus,2009,manuell,68,100000,2
25-03-2016,12350,test,limousine,2015,manuell,120,10000,1
19-04-2016,2700,control,limousine,1997,automatik,193,125000,3
03-03-2016,10310,control,cabrio,2004,automatik,163,150000,7
06-04-2016,1000,test,kombi,1998,manuell,90,150000,10
15-03-2016,4500,test,kleinwagen,2005,manuell,82,150000,10
03-04-2016,24000,test,cabrio,1991,manuell,170,150000,3
25-04-2016,1550,test,kleinwagen,1999,automatik,54,125000,11
16-04-2016,9990,test,cabrio,2012,automatik,71,40000,6
11-04-2016,750,test,limousine,1997,manuell,125,150000,12
03-04-2016,13900,control,bus,2009,manuell,140,90000,5
29-04-2016,7999,test,limousine,2005,automatik,241,150000,7
07-04-2016,9900,test,suv,2005,manuell,218,150000,12
10-04-2016,650,test,Unknown,2016,manuell,58,150000,4
05-03-2016,2750,control,limousine,1999,automatik,90,150000,11
12-03-2016,18999,control,limousine,2008,manuell,177,80000,12
29-03-2016,999,test,kombi,1997,manuell,120,150000,6
05-04-2016,6200,control,coupe,2009,manuell,140,80000,4
03-03-2016,1990,control,limousine,2000,automatik,211,150000,9
03-04-2016,9850,test,kombi,2008,manuell,170,125000,11
13-03-2016,6500,control,suv,2000,manuell,129,150000,4
08-04-2016,580,control,limousine,1995,manuell,71,100000,6
05-04-2016,1599,test,cabrio,1998,manuell,75,150000,12
16-04-2016,7000,control,kombi,2006,manuell,170,150000,12
24-04-2016,1090,control,limousine,1999,manuell,75,150000,10
09-03-2016,2800,test,limousine,2002,manuell,115,150000,10
20-04-2016,1000,test,andere,1996,manuell,54,150000,2
24-03-2016,19000,control,suv,1979,manuell,150,80000,4
12-03-2016,22999,test,limousine,2011,automatik,204,150000,7
17-04-2016,1499,test,limousine,1994,manuell,72,125000,8
09-03-2016,10350,test,bus,2010,manuell,140,100000,4
18-04-2016,6300,control,kombi,2006,manuell,166,125000,10
01-04-2016,8999,control,limousine,2007,manuell,122,150000,5
30-03-2016,10000,test,limousine,2010,manuell,116,80000,10
23-03-2016,1200,control,coupe,1996,manuell,105,150000,5
28-03-2016,18499,test,kombi,2012,manuell,170,70000,1
17-03-2016,2600,control,limousine,2004,manuell,113,125000,3
22-03-2016,6099,test,coupe,2004,manuell,143,150000,5
20-03-2016,3500,test,cabrio,2004,manuell,109,125000,6
11-04-2016,1499,control,kleinwagen,2001,manuell,50,150000,3
30-03-2016,7100,control,limousine,2006,manuell,105,150000,7
18-04-2016,699,test,kleinwagen,1999,manuell,58,150000,12
28-04-2016,4750,test,limousine,2006,manuell,102,125000,6
28-04-2016,4190,test,limousine,2006,manuell,101,150000,4
13-03-2016,22800,test,limousine,2008,automatik,235,100000,12
15-03-2016,3000,control,cabrio,2001,manuell,90,150000,3
12-03-2016,4999,test,kleinwagen,1997,manuell,90,150000,5
25-03-2016,10400,test,coupe,2007,manuell,218,70000,5
09-03-2016,650,control,bus,1998,manuell,107,150000,11
28-04-2016,75600,control,cabrio,2011,automatik,385,50000,2
07-03-2016,500,test,kleinwagen,2000,manuell,101,150000,3
05-04-2016,9000,control,limousine,2005,automatik,218,150000,7
08-03-2016,500,control,kombi,1997,automatik,110,150000,10
17-04-2016,4300,control,kleinwagen,2010,automatik,71,70000,9
06-03-2016,9000,test,limousine,2015,automatik,190,50000,6
14-04-2016,2500,test,kleinwagen,2004,manuell,60,40000,12
30-03-2016,2500,test,kombi,2003,manuell,226,150000,11
06-03-2016,9990,control,kleinwagen,2012,manuell,75,80000,12
13-04-2016,17899,control,suv,2013,manuell,131,70000,1
09-03-2016,9500,control,kleinwagen,2013,manuell,86,50000,5
23-03-2016,2850,control,kleinwagen,2007,manuell,75,150000,12
10-04-2016,25990,control,cabrio,2005,manuell,205,100000,2
04-04-2016,16250,control,cabrio,2008,manuell,177,80000,6
27-03-2016,22500,control,limousine,2011,automatik,179,60000,4
21-03-2016,500,test,kombi,2000,manuell,90,150000,5
14-04-2016,17399,test,coupe,2010,automatik,140,100000,8
26-03-2016,1490,test,limousine,1999,manuell,75,150000,3
04-03-2016,3750,control,kleinwagen,2009,manuell,68,50000,9
19-03-2016,4200,control,kombi,2010,manuell,109,150000,8
19-04-2016,16790,test,bus,2013,automatik,136,30000,10
25-03-2016,14500,control,coupe,2008,automatik,170,150000,12
29-04-2016,7350,control,limousine,1997,automatik,340,150000,10
05-03-2016,2480,control,limousine,1998,manuell,241,150000,12
29-04-2016,1950,test,bus,2000,manuell,70,150000,7
12-03-2016,7250,control,bus,2006,automatik,105,150000,12
03-03-2016,4500,control,limousine,2000,automatik,170,150000,1
01-03-2016,3990,control,limousine,1986,manuell,129,150000,2
15-03-2016,2500,test,andere,2002,manuell,170,150000,5
15-03-2016,8444,control,limousine,2005,automatik,306,150000,9
21-04-2016,1250,test,kombi,1999,automatik,150,150000,3
26-04-2016,2300,control,limousine,2002,manuell,170,150000,11
29-03-2016,4450,test,suv,2002,manuell,163,150000,3
24-03-2016,13250,control,bus,2010,manuell,140,100000,5
25-03-2016,4350,test,limousine,2007,automatik,156,150000,11
10-04-2016,12400,control,kombi,2009,automatik,109,70000,9
18-04-2016,1450,test,kleinwagen,1999,manuell,60,70000,9
06-03-2016,5800,control,limousine,2006,manuell,140,150000,10
23-03-2016,5290,control,limousine,2006,manuell,109,150000,4
28-04-2016,5980,control,kleinwagen,2008,manuell,80,100000,12
21-04-2016,2500,control,kleinwagen,2006,manuell,75,150000,6
29-03-2016,7600,test,limousine,2008,manuell,122,125000,7
10-03-2016,2000,control,limousine,1998,automatik,101,125000,7
09-04-2016,4750,control,kombi,2004,automatik,122,150000,7
24-03-2016,18750,test,suv,2013,manuell,185,50000,3
19-03-2016,3100,test,kleinwagen,2007,manuell,73,125000,7
12-03-2016,5600,test,kombi,2004,manuell,131,125000,4
04-03-2016,14500,test,kombi,2010,automatik,265,150000,10
24-04-2016,6300,test,limousine,2005,automatik,116,80000,1
30-04-2016,1290,control,limousine,2004,manuell,80,150000,2
29-04-2016,6490,control,limousine,2003,manuell,102,50000,9
02-03-2016,20980,test,suv,1962,manuell,60,30000,1
19-04-2016,750,test,limousine,1999,manuell,101,150000,12
20-04-2016,2850,control,limousine,2004,manuell,116,150000,4
30-04-2016,8500,test,coupe,1994,manuell,300,150000,3
26-04-2016,650,control,cabrio,1997,manuell,60,150000,6
18-04-2016,4500,test,coupe,2012,manuell,179,50000,11
27-04-2016,3550,test,bus,2006,manuell,101,150000,3
07-03-2016,800,control,bus,2000,manuell,80,150000,4
09-04-2016,500,control,kleinwagen,1996,manuell,55,60000,10
30-03-2016,4200,test,limousine,2005,manuell,109,150000,2
12-03-2016,12900,control,kleinwagen,2013,manuell,75,125000,8
04-03-2016,6200,test,coupe,1982,manuell,26,80000,7
10-03-2016,19690,control,coupe,2010,automatik,197,150000,3
06-04-2016,9999,test,kombi,2011,automatik,140,150000,6
10-03-2016,855,test,limousine,1992,manuell,90,150000,7
25-03-2016,7800,control,coupe,1995,automatik,224,150000,5
30-04-2016,4390,test,kleinwagen,2002,manuell,58,30000,9
23-03-2016,600,test,kleinwagen,1987,manuell,45,90000,12
24-04-2016,1199,control,limousine,1998,manuell,101,150000,5
09-03-2016,18990,test,kombi,2014,manuell,105,40000,8
16-03-2016,4450,test,limousine,2002,manuell,150,150000,9
27-04-2016,4300,test,bus,2007,manuell,120,150000,10
28-03-2016,1000,test,limousine,1999,manuell,75,80000,2
28-03-2016,9800,test,kombi,2004,automatik,218,150000,11
09-03-2016,26999,control,limousine,2011,automatik,306,150000,9
02-04-2016,700,control,limousine,1998,manuell,75,150000,9
19-03-2016,8900,test,cabrio,1993,manuell,160,150000,1
05-04-2016,1600,test,limousine,2001,manuell,116,150000,8
21-04-2016,3600,test,limousine,2002,manuell,143,125000,6
24-04-2016,2850,control,kleinwagen,2002,manuell,41,150000,10
23-03-2016,20000,test,limousine,2007,automatik,241,125000,5
02-04-2016,2190,test,kleinwagen,2004,manuell,60,125000,7
09-04-2016,500,control,kleinwagen,1994,manuell,45,90000,5
04-03-2016,2000,test,kleinwagen,2004,manuell,75,100000,3
25-03-2016,700,test,kombi,2000,manuell,170,150000,4
28-04-2016,10450,control,kombi,2013,manuell,140,150000,4
11-04-2016,11700,test,kombi,2008,manuell,136,125000,10
06-03-2016,8300,test,kleinwagen,2009,manuell,109,150000,1
19-03-2016,1499,control,limousine,2001,manuell,118,30000,8
14-03-2016,500,test,limousine,1999,manuell,156,150000,11
19-03-2016,1000,test,cabrio,1994,manuell,75,150000,4
06-04-2016,550,control,limousine,1991,manuell,60,150000,2
08-04-2016,3000,test,limousine,2003,manuell,141,150000,9
14-03-2016,2390,test,kombi,2001,manuell,84,150000,2
16-03-2016,1950,test,kleinwagen,1999,automatik,75,150000,4
05-04-2016,2700,test,coupe,2001,automatik,163,150000,4
03-04-2016,2911,control,andere,1991,automatik,171,150000,5
16-03-2016,22500,test,cabrio,2015,manuell,122,20000,2
22-03-2016,42760,control,limousine,2015,automatik,300,20000,3
22-04-2016,5200,control,bus,2005,manuell,90,150000,12
30-03-2016,5400,control,coupe,2001,manuell,163,125000,5
02-03-2016,599,test,coupe,1998,manuell,88,150000,11
19-04-2016,999,test,kleinwagen,2002,manuell,60,125000,8
17-04-2016,1750,control,limousine,1999,Unknown,155,150000,1
06-04-2016,1290,control,limousine,1999,manuell,75,150000,5
29-03-2016,2799,control,limousine,2001,manuell,110,70000,12
08-03-2016,6450,test,suv,2003,automatik,250,150000,10
19-03-2016,7800,test,kombi,2005,manuell,163,150000,12
20-03-2016,6500,test,kleinwagen,2007,manuell,120,125000,2
23-04-2016,6999,test,limousine,2004,manuell,140,150000,12
08-04-2016,1500,test,bus,1999,manuell,69,150000,9
10-03-2016,4650,control,cabrio,1997,manuell,116,150000,3
26-03-2016,12800,control,kleinwagen,2014,manuell,99,40000,10
04-03-2016,799,test,limousine,1997,manuell,115,150000,4
04-04-2016,3950,test,limousine,1995,automatik,150,150000,7
17-03-2016,2900,control,kleinwagen,2006,manuell,60,50000,4
09-03-2016,890,control,kleinwagen,2001,manuell,58,150000,12
27-04-2016,750,test,kombi,2000,manuell,60,100000,4
15-04-2016,899,test,kleinwagen,1997,manuell,60,150000,7
29-03-2016,6900,test,limousine,2003,automatik,184,150000,10
29-04-2016,6500,test,limousine,2009,manuell,110,150000,5
25-03-2016,990,test,limousine,2003,manuell,82,100000,4
09-04-2016,1500,test,limousine,2004,automatik,80,150000,8
15-03-2016,2000,control,cabrio,2003,manuell,136,150000,7
26-03-2016,800,control,kombi,2001,manuell,90,150000,3
08-03-2016,4450,test,kombi,2007,manuell,80,150000,9
08-03-2016,14950,control,bus,2011,automatik,140,125000,4
18-04-2016,2999,control,kleinwagen,2005,manuell,75,150000,8
04-04-2016,1700,test,kleinwagen,2002,manuell,98,125000,10
09-04-2016,1300,test,limousine,2002,manuell,131,150000,3
21-04-2016,2100,control,bus,1986,manuell,90,30000,12
16-04-2016,990,test,kombi,1993,manuell,116,150000,3
12-03-2016,14390,control,kombi,2011,manuell,143,125000,10
09-03-2016,7900,control,kombi,2013,manuell,86,60000,7
17-04-2016,500,control,kleinwagen,1996,manuell,60,150000,10
15-04-2016,13400,control,bus,2007,manuell,150,150000,1
29-03-2016,899,test,kombi,1995,automatik,116,150000,10
17-03-2016,2999,test,limousine,1995,automatik,286,150000,1
03-04-2016,4490,test,kleinwagen,2006,manuell,83,90000,1
24-04-2016,7000,control,kombi,2006,automatik,231,150000,11
25-03-2016,8200,control,limousine,2012,manuell,124,40000,5
04-03-2016,7450,control,cabrio,2008,manuell,140,90000,3
28-03-2016,3380,control,kleinwagen,2005,manuell,55,90000,5
24-04-2016,8500,test,bus,2007,automatik,136,90000,9
06-04-2016,4799,test,kleinwagen,2009,manuell,60,70000,11
23-03-2016,9690,control,kombi,2008,automatik,232,150000,4
09-03-2016,949,test,limousine,1999,manuell,116,150000,6
08-04-2016,2190,test,bus,2003,manuell,128,150000,6
30-03-2016,11000,test,kombi,2011,manuell,150,125000,10
30-03-2016,1600,test,limousine,2001,manuell,110,150000,12
13-03-2016,590,control,kleinwagen,1998,manuell,51,150000,2
13-04-2016,5100,control,kombi,2003,automatik,230,150000,10
05-04-2016,2499,test,limousine,2005,manuell,60,90000,5
13-03-2016,31800,control,bus,2015,automatik,190,20000,7
01-03-2016,5590,control,bus,2010,manuell,110,150000,10
25-04-2016,600,test,limousine,1997,manuell,75,125000,5
20-03-2016,6250,control,limousine,2000,automatik,170,150000,11
25-04-2016,26990,control,limousine,2015,manuell,150,20000,3
01-04-2016,2450,control,kleinwagen,2003,manuell,75,150000,2
03-03-2016,1100,test,kombi,1999,manuell,90,150000,11
24-03-2016,4100,test,limousine,1996,automatik,286,150000,12
10-04-2016,2750,test,limousine,1999,manuell,170,150000,12
23-04-2016,1550,test,limousine,2001,manuell,125,150000,12
20-04-2016,20990,test,cabrio,2002,automatik,306,80000,3
25-03-2016,9990,test,cabrio,2003,automatik,245,150000,7
17-03-2016,800,test,kleinwagen,1999,manuell,75,150000,3
13-03-2016,7777,test,bus,2004,manuell,105,90000,12
24-03-2016,7300,test,limousine,2011,manuell,109,50000,3
17-03-2016,5900,test,kleinwagen,2010,manuell,87,90000,4
11-04-2016,3999,control,kombi,2005,manuell,116,150000,6
14-03-2016,15800,control,bus,2008,automatik,140,80000,9
16-03-2016,4350,test,kombi,2000,manuell,90,150000,5
11-03-2016,2750,control,kombi,2000,automatik,184,150000,5
24-03-2016,6500,control,limousine,2003,automatik,272,150000,3
23-04-2016,23800,control,bus,2013,automatik,170,125000,3
28-04-2016,4150,test,suv,2002,automatik,163,150000,4
04-04-2016,4599,control,kombi,2001,manuell,150,150000,9
21-04-2016,900,test,limousine,1996,manuell,115,150000,11
05-03-2016,1900,test,kleinwagen,2002,manuell,75,150000,2
01-03-2016,1800,test,limousine,2000,manuell,140,150000,11
04-03-2016,12400,test,kombi,2008,manuell,177,150000,5
28-03-2016,800,control,kleinwagen,2000,manuell,55,20000,11
06-03-2016,7500,test,limousine,2004,automatik,131,125000,1
14-04-2016,3199,test,kombi,2003,manuell,116,150000,4
01-04-2016,5300,test,kombi,2006,manuell,136,150000,12
24-04-2016,550,test,limousine,1999,manuell,60,150000,10
10-04-2016,18900,test,limousine,2008,automatik,232,150000,6
11-04-2016,1650,test,coupe,1987,automatik,110,150000,3
04-03-2016,1300,control,kleinwagen,2003,automatik,58,125000,5
17-04-2016,1350,test,limousine,1999,manuell,170,150000,7
12-03-2016,3300,control,bus,2008,manuell,75,150000,9
03-03-2016,10500,test,limousine,2004,automatik,224,150000,7
17-03-2016,1849,test,limousine,1999,manuell,101,150000,10
09-03-2016,1900,test,bus,1995,manuell,78,150000,9
01-04-2016,4750,control,kleinwagen,2007,manuell,80,125000,10
25-03-2016,5900,control,kombi,2006,manuell,136,150000,7
25-03-2016,10800,control,bus,2005,automatik,174,150000,7
22-03-2016,3950,test,kombi,1990,manuell,179,150000,12
07-03-2016,7499,test,limousine,2004,manuell,150,150000,9
29-04-2016,9500,control,suv,2008,manuell,150,125000,5
21-04-2016,6000,test,bus,2006,manuell,116,125000,3
20-04-2016,6250,test,kombi,2007,manuell,184,150000,9
02-04-2016,550,test,limousine,1993,manuell,75,150000,6
07-03-2016,13800,test,cabrio,2008,manuell,160,90000,5
21-04-2016,750,control,Unknown,2016,manuell,101,150000,10
28-04-2016,4450,test,kombi,2004,automatik,143,150000,2
26-03-2016,999,control,limousine,2000,automatik,102,150000,10
05-03-2016,750,control,limousine,1999,manuell,101,150000,12
10-03-2016,28500,test,bus,2010,manuell,140,100000,9
18-04-2016,5200,test,cabrio,2004,manuell,143,150000,4
22-03-2016,6950,test,limousine,2006,manuell,131,125000,8
09-04-2016,1550,control,limousine,1973,manuell,50,150000,3
06-03-2016,5500,control,kombi,2003,automatik,179,150000,9
18-04-2016,15495,control,limousine,2011,manuell,117,40000,5
25-03-2016,5990,control,kombi,2005,manuell,140,150000,10
10-04-2016,16500,control,coupe,2006,automatik,200,70000,11
20-04-2016,29500,control,coupe,2009,automatik,407,60000,8
13-03-2016,14490,test,kombi,2011,manuell,140,150000,11
01-03-2016,2700,test,limousine,2001,manuell,110,150000,10
24-04-2016,8500,control,kleinwagen,2010,manuell,87,40000,8
03-03-2016,2250,test,kombi,2001,manuell,101,80000,11
20-04-2016,5500,test,bus,1984,manuell,78,150000,7
09-04-2016,14900,test,kombi,2008,automatik,232,150000,2
18-03-2016,1300,control,kombi,2001,manuell,75,150000,1
13-04-2016,6199,control,kleinwagen,2010,automatik,54,80000,1
08-03-2016,22000,test,coupe,2010,manuell,204,60000,5
21-04-2016,5900,control,limousine,2007,manuell,83,150000,7
01-04-2016,749,control,kleinwagen,2000,manuell,54,150000,7
17-03-2016,1900,test,kleinwagen,1999,automatik,45,150000,6
20-04-2016,1200,control,limousine,1992,manuell,113,150000,10
28-04-2016,14990,control,Unknown,2009,manuell,140,70000,5
18-03-2016,1000,control,kombi,2000,automatik,145,150000,8
27-04-2016,5999,test,kleinwagen,2006,manuell,105,125000,1
23-03-2016,2625,control,bus,2005,manuell,135,150000,3
25-04-2016,3999,control,andere,1999,manuell,103,150000,5
23-04-2016,6500,test,limousine,2005,automatik,218,150000,6
11-03-2016,18550,control,cabrio,2011,manuell,218,100000,7
25-04-2016,10400,control,coupe,2010,manuell,160,90000,1
21-04-2016,875,test,kleinwagen,2002,manuell,60,100000,8
28-03-2016,1000,test,kleinwagen,1999,manuell,75,150000,4
01-04-2016,13500,test,limousine,2010,manuell,122,60000,8
18-03-2016,1100,control,limousine,1998,manuell,110,150000,9
30-04-2016,2300,test,limousine,1998,manuell,189,150000,2
16-04-2016,12800,control,limousine,2012,manuell,117,50000,7
20-03-2016,5400,control,limousine,2007,manuell,105,150000,2
28-03-2016,9800,control,limousine,2009,manuell,105,125000,5
23-03-2016,25499,control,kombi,2012,manuell,177,90000,3
08-04-2016,6500,test,kleinwagen,2013,manuell,75,20000,11
17-04-2016,1900,test,kleinwagen,2009,manuell,58,50000,5
21-04-2016,3333,test,limousine,2005,manuell,75,150000,5
15-03-2016,3850,test,kombi,2004,manuell,150,150000,12
20-03-2016,4300,test,kleinwagen,2009,manuell,60,90000,12
27-04-2016,899,control,limousine,1999,manuell,115,125000,9
11-03-2016,10499,control,suv,1991,manuell,92,150000,10
22-03-2016,3999,test,limousine,1980,manuell,116,80000,1
29-04-2016,2500,control,limousine,2006,manuell,65,150000,11
17-03-2016,1150,control,kleinwagen,2001,manuell,60,150000,3
10-04-2016,950,test,kleinwagen,1995,manuell,75,150000,9
22-03-2016,3300,control,limousine,1988,automatik,160,150000,1
29-03-2016,999,test,kleinwagen,2002,manuell,90,80000,10
07-03-2016,9499,test,coupe,1992,manuell,190,150000,12
01-04-2016,15999,test,cabrio,2004,automatik,245,150000,1
19-04-2016,2459,control,cabrio,2002,manuell,107,150000,4
01-03-2016,5300,control,kleinwagen,2007,manuell,80,70000,3
23-03-2016,11400,test,cabrio,2007,manuell,160,60000,1
